10:06:20.677 [http-nio-8080-exec-9] INFO  c.e.y.controller.RegisterController - ---------------- 注册新用户 ----------------------
10:06:20.678 [http-nio-8080-exec-9] INFO  c.e.y.controller.RegisterController - ---------------- 验证验证码 ----------------------
10:06:20.705 [http-nio-8080-exec-9] INFO  c.e.y.controller.RegisterController - ---------------- 用户名已被注册 ----------------------
10:37:41.086 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - not found token : class com.usthe.sureness.subject.support.NoneSubject --target processor
10:37:41.088 [http-nio-8080-exec-1] INFO  c.e.y.sureness.SurenessFilterExample - this request is illegal
10:38:24.380 [http-nio-8080-exec-4] INFO  c.e.y.controller.RegisterController - ---------------- 注册新用户 ----------------------
10:38:24.380 [http-nio-8080-exec-4] INFO  c.e.y.controller.RegisterController - ---------------- 验证验证码 ----------------------
10:38:24.385 [http-nio-8080-exec-4] INFO  c.e.y.controller.RegisterController - ---------------- 用户名已被注册 ----------------------
10:39:22.705 [http-nio-8080-exec-8] INFO  c.e.y.controller.RegisterController - ---------------- 注册新用户 ----------------------
10:39:22.705 [http-nio-8080-exec-8] INFO  c.e.y.controller.RegisterController - ---------------- 验证验证码 ----------------------
10:39:22.707 [http-nio-8080-exec-8] INFO  c.e.y.controller.RegisterController - ---------------- 用户名已被注册 ----------------------
10:39:32.627 [restartedMain] INFO  com.ep.yunq.YunqApplication - Starting YunqApplication using Java 1.8.0_212 on YYC-PC with PID 23548 (D:\gcxl\target\classes started by yan in D:\gcxl)
10:39:32.630 [restartedMain] INFO  com.ep.yunq.YunqApplication - No active profile set, falling back to default profiles: default
10:39:32.680 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
10:39:32.680 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
10:39:33.541 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
10:39:33.543 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
